Link|Title|File Size
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Papermaking%20Dictionary.7z|Chinese-English Papermaking Dictionary|656 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Petroleum%20Dictionary.7z|Chinese-English Petroleum Dictionary|3.5 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Petroleum%20Nouns.7z|Chinese-English Petroleum Nouns|225 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Pharmaceutical%20Terms.7z|Chinese-English Pharmaceutical Terms|105 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Phonetic%20Dictionary.7z|Chinese-English Phonetic Dictionary|1.3 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Physics%20Terms.7z|Chinese-English Physics Terms|64 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Physiological%20Terms.7z|Chinese-English Physiological Terms|51 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Psychological%20Terms.7z|Chinese-English Psychological Terms|142 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Railway%20Science%20and%20Technology%20Terms.7z|Chinese-English Railway Science and Technology Terms|199 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Ship%20Engineering%20Terms.7z|Chinese-English Ship Engineering Terms|100 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Shipping%20Dictionary.7z|Chinese-English Shipping Dictionary|3.2 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Soil%20Science%20Terms.7z|Chinese-English Soil Science Terms|186 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Sports%20Dictionary.7z|Chinese-English Sports Dictionary|985 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Telecommunications%20Dictionary.7z|Chinese-English Telecommunications Dictionary|3.5 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Terminology%20of%20Architecture%2C%20Gardens%20and%20Urban%20Planning.7z|Chinese-English Terminology of Architecture, Gardens and Urban Planning|108 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Terminology%20of%20Atmospheric%20Sciences.7z|Chinese-English Terminology of Atmospheric Sciences|127 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Terminology%20of%20Cell%20Biology.7z|Chinese-English Terminology of Cell Biology|38 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Terminology%20of%20Geophysics.7z|Chinese-English Terminology of Geophysics|41 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Terms%20of%20Human%20Anatomy.7z|Chinese-English Terms of Human Anatomy|127 KB
